queue_id,nct_id,status,action,scope_category,revised_recommendation
cc1dfd80-d128-4323-9855-4139fbf7a4c0,NCT04289064,pending,reject,AI/ML-improved imaging workflow,capture_improved
e287fc42-44b4-4e81-9fb5-445c78658d9b,NCT04314180,pending,reject,AI/ML-improved imaging workflow,capture_improved
215b2153-3b2f-43ba-b1ec-07a563de9fb6,NCT06938061,pending,reject,AI/ML-improved imaging workflow,capture_improved
fd427b58-2c6b-4deb-8c36-8dca898c65dd,NCT06798779,pending,reject,AI/ML-improved data/model workflow,capture_improved
1549006c-281a-4151-9a6a-de6d7afe20fd,NCT04722770,pending,reject,AI/ML-improved conventional device/workflow,capture_improved
193b7086-a650-463c-af2f-09be6ec73c97,NCT06317181,pending,reject,AI/ML-improved data/model workflow,capture_improved
695966df-ff8c-4b2b-8727-507911468b29,NCT04859634,pending,reject,AI/ML-improved imaging/screening workflow,capture_improved
7715632d-e3fa-404b-a46a-500b7fe6f504,NCT06507774,pending,reject,AI/ML-improved conventional device/workflow,capture_improved
25217d7d-9c04-4f3b-8044-4984d7c6213b,NCT06434818,pending,reject,Not AI/ML medical device,reject
9c7fb523-9e50-4491-90aa-055f7d5e12a2,NCT06647225,pending,reject,AI/ML-improved ultrasound workflow,capture_improved
b2e327b4-8bc2-473f-97d9-0584e7d31714,NCT05463523,pending,reject,AI/ML-improved procedural device/workflow,capture_improved
26137996-d1c7-4f80-bd2f-85808f62729d,NCT06792110,pending,reject,AI/ML-improved conventional device/workflow,capture_improved
2b16ee31-0952-4dca-bad4-e941c183c0fd,NCT06745791,pending,reject,AI/ML-improved imaging software,capture_improved
0fd2a63f-4808-447a-89c0-569d83ca86b7,NCT06462924,pending,reject,AI/ML-improved imaging reconstruction,capture_improved
a7a5010c-d1de-449e-b8f8-ed60edb7b112,NCT05820113,pending,reject,AI/ML-improved imaging reconstruction,capture_improved
df555508-072e-4953-9f0c-c63f1d6b98f4,NCT05871372,approved,reject,AI/ML research/improved neuromodulation signal,capture_improved
5bb42027-106b-4d0c-a3b6-76b0eb2787f2,NCT06743295,approved,reject,AI/ML-improved conventional device/workflow,capture_improved
700e12a8-371d-43a1-af14-369577205c6a,NCT04555135,pending,keep,Core AI/ML medical device / clinical software,keep_core
69aebf49-5df4-4518-a822-00cfd44dbfb1,NCT02243670,pending,keep,Core AI/ML medical device / clinical software,keep_core
6a87c4f4-bff9-481c-a32c-995ef190c828,NCT05583032,pending,keep,Core AI/ML medical device / clinical software,keep_core
591c4fc2-0e2f-4c6a-8111-1a95717b84ff,NCT04983771,pending,keep,Core AI/ML medical device / clinical software,keep_core
dc55addd-4e71-41e4-aa01-b9302748e77a,NCT06235112,pending,keep,Core AI/ML medical device / clinical software,keep_core
3af5b4d5-b76f-4366-b032-3fc410827bf8,NCT07383870,pending,keep,Core AI/ML medical device / clinical software,keep_core
29b6c670-f719-463d-bba8-8d65f0a283ea,NCT07312019,pending,keep,Core AI/ML medical device / clinical software,keep_core
4e8edfd4-5862-4ba2-94f3-0783e2f5a1dc,NCT06786793,pending,keep,Core AI/ML medical device / clinical software,keep_core
